name,category,url
Varkala Beach,beach,https://drive.google.com/uc?id=11Ik4cmR5Yr98GzfNTcGUJs4iFAtI12ba
Varkala Beach,beach,https://drive.google.com/uc?id=1zdNrphrvWH81IzLf4J9GKGEcfJbcfDL5
Varkala Beach,beach,https://drive.google.com/uc?id=1Tyd0pne0WTAr0KghzdRt0Mn-5sPvvMi3
Varkala Beach,beach,https://drive.google.com/uc?id=13JgQZdBkyHKJ8D9mRpLmH1XOtSCqPqsd
barren,adventure,https://drive.google.com/uc?id=1I0WtQbLpqNUqrI5-9DMejCw9P4emGFXz
barren,adventure,https://drive.google.com/uc?id=1Ilgyys2OaxIj4tDbJ92PK_dJtduEiFER
barren,adventure,https://drive.google.com/uc?id=1734pVdKRps4Xx9uxElrFLnedsZG5muKB
barren,adventure,https://drive.google.com/uc?id=1MK6o3iDNBmnLqc6O8geGvENkpGU_A2FL
barren,adventure,https://drive.google.com/uc?id=1Ex_MUYGf4M2hX1aHBjsFFw8HFMaYMctl
cellular,adventure,https://drive.google.com/uc?id=1Tq2A0siid_KT7xdzxeg0_IXBrXpQ1Cb7
elephant,adventure,https://drive.google.com/uc?id=1Yxq6_voLhdLGdSs_iqxPwQbHeZJ0SqD8
elephant,adventure,https://drive.google.com/uc?id=1ZL6qguIyr-4XGeZZ1MqOxC1X5jzOWsdn
elephant,adventure,https://drive.google.com/uc?id=1_xY1kBZ-ok7npP4_EvgWMr1_FJrX_E8f
elephant,adventure,https://drive.google.com/uc?id=1iBORRfa8U234XAJc86A91hOVAYyz3lWW
elephant,adventure,https://drive.google.com/uc?id=1ClLe9-73HrwajOzxNAF-c0n2cpq0-f-C
elephant,adventure,https://drive.google.com/uc?id=1HiiOgDcSxpDhbvwTHRG-eXc6zIIIObJV
elephant,adventure,https://drive.google.com/uc?id=1JCWLEHhGfdNWLwS0yLVdMJB8bzmpGdLv
kalapathar,adventure,https://drive.google.com/uc?id=1wgWeIJOkjnyJ_dElzCggBeJlJC05UVJo
kalapathar,adventure,https://drive.google.com/uc?id=1sytbWmwicNs7DnEwhA6Q5mESZBQGSp0v
kalapathar,adventure,https://drive.google.com/uc?id=1jfty6YrKGHQ2X-e2Zw8sRKUChui2UY4-
kalapathar,adventure,https://drive.google.com/uc?id=1u2whOPzwjWzXgShTSD2du4XDUSK_SUmo
kalapathar,adventure,https://drive.google.com/uc?id=1_J0lBvA4NftnNGdbsYoRSjbxT8CVjpU4
kalapathar,adventure,https://drive.google.com/uc?id=1DiZYQPR268O86KoYQgyL5L3NjV9fpLeS
ross,adventure,https://drive.google.com/uc?id=1PYlmmhk-Ae-3ggHGl9aflAyZqXtA46nH
ross,adventure,https://drive.google.com/uc?id=1js-7wg_OUGqsS8wME6OJr65jyxowoSnJ
ross,adventure,https://drive.google.com/uc?id=1AE3VeSEdXbfOZhkHAPSW1e9DbWAzXOoq
ross,adventure,https://drive.google.com/uc?id=1zOFVWk6Npn69j0QLWX4sHqlhgsmmB6bw
ross,adventure,https://drive.google.com/uc?id=1K9tsPH3GD1O1DX2eLjpzsprpKtgZTGh-
ross,adventure,https://drive.google.com/uc?id=18byxkUjslT0jnoUSD6HFhqwZAaZkA1pP
ross,adventure,https://drive.google.com/uc?id=1tWHtq525SndwVyGr02oZH-m9qC2p9NaW
alpather,adventure,https://drive.google.com/uc?id=1yIJYFIhYd4437FSozACsSBhdhiyH2mFE
alpather,adventure,https://drive.google.com/uc?id=1dZYe4gu0VjnOWu-IZ-pCQazlzpvnB0LT
alpather,adventure,https://drive.google.com/uc?id=1q0DpwPai0pOAw6uR8fByWYczBj4vCp_I
alpather,adventure,https://drive.google.com/uc?id=1YQ9iZiWWPeYJNyhU_7gHcnNfIQBei9Bn
alpather,adventure,https://drive.google.com/uc?id=1UT8fL2moOgTxaJ3QRifdfKDkPYFAXK2q
alpather,adventure,https://drive.google.com/uc?id=1AeFjakqhAB8n1nsM_gTnWq3PAsWyffmQ
gulmarg,adventure,https://drive.google.com/uc?id=1kCHg_hkGj7S_NqCbFCu19JURqBCOifoa
gulmarg,adventure,https://drive.google.com/uc?id=1U8GaekRwNka6yUjBjsJEhJwdgwb0h-FM
gulmarg,adventure,https://drive.google.com/uc?id=1WFU8XBgPfz4c4KaWnQZhlNlV2xOJm0sf
gulmarg,adventure,https://drive.google.com/uc?id=1jWV9fTU3QX8FgtwyUQ1Flz0Z9a9fI3WS
gulmarg,adventure,https://drive.google.com/uc?id=1ddoUEYM1rFbk62LGJqydpNZaxFpeUgMD
gulmarg,adventure,https://drive.google.com/uc?id=1QO71qBXgvjVrROg87Az1CoTg1-YmDJEV
gulmarg,adventure,https://drive.google.com/uc?id=1BIW6z7UDil64OTKMpaW7f1fkYfN3zbrp
gulmarg,adventure,https://drive.google.com/uc?id=1LvfpTqFYOpvdi2sf5tlIoCoTTIe4w6Wz
gulmarg,adventure,https://drive.google.com/uc?id=14M6-K6QbudamkHK0f25I7qMEQorUHViu
gulmarg,adventure,https://drive.google.com/uc?id=13D36Dxl50U_fHihAcyx64I70A2dW_1aN
gulmarg,adventure,https://drive.google.com/uc?id=11UnSxUQotYTVzIuQYU7ooHbozGPfQObX
gulmarg,adventure,https://drive.google.com/uc?id=1ILC7LhVMDyaF-3zEKx_O61nLmjdH4-nF
khilanmarg,adventure,https://drive.google.com/uc?id=1zDQEkAd10XO3AIOdMbt2XJMG9YRFznZK
khilanmarg,adventure,https://drive.google.com/uc?id=1GAy117bOmfWjA4Flcn9mh8CZY1G0qdql
khilanmarg,adventure,https://drive.google.com/uc?id=1KJzHNoudNT6o7pByt2B6QpuAJ43uTrxY
khilanmarg,adventure,https://drive.google.com/uc?id=1phOekaWxHL5Qxdm6BfCkNMOAnWu0G1Yz
strawberry,adventure,https://drive.google.com/uc?id=1GvF0p_d7PvqY9ur6MUfK05nJdjr190o9
strawberry,adventure,https://drive.google.com/uc?id=1_EoWIQBuWAgxz_ez7htUsJnKJ7-7D7lH
strawberry,adventure,https://drive.google.com/uc?id=1NBvpyv7znl60urauhs7O_wBqf13CDOPK
strawberry,adventure,https://drive.google.com/uc?id=19G9Gi90oW83VKm5x-FP7MRnwWTB0rCwA
strawberry,adventure,https://drive.google.com/uc?id=1d31msEREcbVvfa5a2u8X5GUOJXKzLR6e
strawberry,adventure,https://drive.google.com/uc?id=1oS9ENiIyK0DoZSym92kKkCntz1OK8YWP
aina,adventure,https://drive.google.com/uc?id=13JfHwgQKccMdMMEawT5TTJaLzTBRiYv6
aina,adventure,https://drive.google.com/uc?id=1C4mODhWhDHrms3HX5gPXwxEXQTYb80Ds
aina,adventure,https://drive.google.com/uc?id=1YyLsu1AB-0rmTYgaSj1bw080Zbq9XMnk
aina,adventure,https://drive.google.com/uc?id=1OQcTpwpWaL5Dl3dvGhPYHbM-eRleLfRk
aina,adventure,https://drive.google.com/uc?id=1XPGZImwfh6YvwdwVgV2hpSuTug2qMtsQ
aina,adventure,https://drive.google.com/uc?id=1FS19BkTIS0UXwiAhQkSoHB4xrYVzXafl
bhadreshwar,adventure,https://drive.google.com/uc?id=1JC6zNI8eujd-s-30odaW4G0powSePaf4
bhadreshwar,adventure,https://drive.google.com/uc?id=1nl5_It8GXXmim8JsLKcMt55VKt9ovCuf
bhadreshwar,adventure,https://drive.google.com/uc?id=1Zyw7oBgHyudPm56t6qk9S9kIoPU7xTah
bhadreshwar,adventure,https://drive.google.com/uc?id=1EddP3gr1BY--w98-Oi3peJgqDsltbctS
bhadreshwar,adventure,https://drive.google.com/uc?id=19ZU1QeWtAaj_9P4-HgUT8k5rHTKFg9Ga
craft,adventure,https://drive.google.com/uc?id=16L3nn1ka18RMHMba945PtSb7nAf_mDU-
craft,adventure,https://drive.google.com/uc?id=1MpeZmTPQfPq9AR8xbEO_e0t7hq5G7_-P
craft,adventure,https://drive.google.com/uc?id=1DgwD5VCW9eQoRcg4O9QMknhXbMjP_m7q
craft,adventure,https://drive.google.com/uc?id=1vUG0KRYqiha_92vJLSIos9edVLIByl68
craft,adventure,https://drive.google.com/uc?id=1NUibxiJin5uyQz3j9oa98jx2KoizKho8
craft,adventure,https://drive.google.com/uc?id=1cvv__ArttPjSr-0hfZkxBSvv-OO6PEWX
great,adventure,https://drive.google.com/uc?id=1DBNif5bHXLIty103SlC3wx5m1n2tnRrs
great,adventure,https://drive.google.com/uc?id=19oKvFpzriPQ6WwMUl8zKwRyrX8aEdd0V
great,adventure,https://drive.google.com/uc?id=1hRLJDr5H-gcg8hDU8qRuUaitOJ3ccCl-
great,adventure,https://drive.google.com/uc?id=1E2ZVaBBduiChsPBLweGkH5F581Zhlj6T
great,adventure,https://drive.google.com/uc?id=1nloI0_Qm8SyJgn_VV23BlkuvO5ifWoJX
great,adventure,https://drive.google.com/uc?id=1LNa-k-0DrVQ6f4Y3HC2BXdngy6_wZgTH
kalo,adventure,https://drive.google.com/uc?id=1ELvuU4aCtgQeXrbYn-XgPUEEA__hOFGf
